account_id,account_type,is_mule,city,state,account_age_days,linked_devices,preferred_location_id
ACC00000,Mule/Suspicious,True,Bengaluru,Karnataka,66,5,ATM-DEL-011
ACC00001,Mule/Suspicious,True,Jaipur,Rajasthan,169,6,ATM-PAT-003
ACC00002,Mule/Suspicious,True,Kanpur,Uttar Pradesh,142,6,ATM-PAT-008
ACC00003,Mule/Suspicious,True,Hyderabad,Telangana,57,8,ATM-DEL-004
ACC00004,Mule/Suspicious,True,Lucknow,Uttar Pradesh,173,3,ATM-BEN-001
ACC00005,Mule/Suspicious,True,Patna,Bihar,5,8,ATM-DEL-013
ACC00006,Mule/Suspicious,True,Kanpur,Uttar Pradesh,52,8,ATM-DEL-000
ACC00007,Mule/Suspicious,True,Lucknow,Uttar Pradesh,40,7,ATM-LUC-005
ACC00008,Mule/Suspicious,True,Mumbai,Maharashtra,20,3,ATM-DEL-010
ACC00009,Mule/Suspicious,True,Kanpur,Uttar Pradesh,6,8,ATM-DEL-002
ACC00010,Mule/Suspicious,True,Hyderabad,Telangana,28,6,ATM-PAT-008
ACC00011,Mule/Suspicious,True,Patna,Bihar,32,5,ATM-PAT-008
ACC00012,Mule/Suspicious,True,Lucknow,Uttar Pradesh,69,3,ATM-BEN-001
ACC00013,Mule/Suspicious,True,Delhi,Delhi,51,5,ATM-KAN-014
ACC00014,Mule/Suspicious,True,Mumbai,Maharashtra,32,8,ATM-PAT-008
ACC00015,Mule/Suspicious,True,Lucknow,Uttar Pradesh,21,8,ATM-DEL-013
ACC00016,Mule/Suspicious,True,Jaipur,Rajasthan,236,5,ATM-MUM-009
ACC00017,Mule/Suspicious,True,Mumbai,Maharashtra,138,5,ATM-PAT-006
ACC00018,Mule/Suspicious,True,Mumbai,Maharashtra,39,7,ATM-DEL-000
ACC00019,Mule/Suspicious,True,Kanpur,Uttar Pradesh,46,6,ATM-LUC-005
ACC00020,Mule/Suspicious,True,Lucknow,Uttar Pradesh,71,3,ATM-KAN-014
ACC00021,Mule/Suspicious,True,Jaipur,Rajasthan,18,7,ATM-PAT-003
ACC00022,Mule/Suspicious,True,Bengaluru,Karnataka,46,6,ATM-DEL-010
