complaint_id,date,complaint_type,reported_amount,victim_account,suspected_account,transaction_id,channel,city,state,status,risk_score,risk_label
CMP-1000,2025-06-08T22:00:00,Phishing,8706.8,ACC00291,ACC00451,TXN100000,UPI,Kanpur,Uttar Pradesh,Closed,33,LOW
CMP-1001,2025-02-05T11:00:00,OTP Fraud,6819.46,ACC00147,ACC00095,TXN100001,Wallet,Delhi,Delhi,Escalated,14,LOW
CMP-1002,2025-02-12T20:00:00,Phishing,7420.81,ACC00400,ACC00387,TXN100002,Card,Lucknow,Uttar Pradesh,Open,22,LOW
CMP-1003,2025-05-04T08:00:00,UPI Fraud,1555.41,ACC00440,ACC00316,TXN100003,NEFT,Jaipur,Rajasthan,Closed,13,LOW
CMP-1004,2025-07-03T14:00:00,Romance Scam,2045.41,ACC00280,ACC00064,TXN100004,IMPS,Kanpur,Uttar Pradesh,Open,34,LOW
CMP-1005,2025-01-21T00:00:00,Loan App Harassment,3503.21,ACC00279,ACC00047,TXN100005,Wallet,Delhi,Delhi,Open,27,LOW
CMP-1006,2025-07-29T23:00:00,Credit Card Fraud,10199.67,ACC00319,ACC00098,TXN100006,RTGS,Bengaluru,Karnataka,Escalated,87,CRITICAL
CMP-1007,2025-05-16T02:00:00,OTP Fraud,20190.88,ACC00411,ACC00455,TXN100007,NEFT,Lucknow,Uttar Pradesh,Open,43,MEDIUM
CMP-1008,2025-07-08T15:00:00,Credit Card Fraud,21814.49,ACC00273,ACC00023,TXN100008,RTGS,Kanpur,Uttar Pradesh,Closed,87,CRITICAL
CMP-1009,2025-01-14T16:00:00,Phishing,5507.28,ACC00135,ACC00081,TXN100009,RTGS,Patna,Bihar,Closed,28,LOW
CMP-1010,2025-09-17T13:00:00,Loan App Harassment,573.79,ACC00292,ACC00043,TXN100010,RTGS,Bengaluru,Karnataka,Open,31,LOW
CMP-1011,2025-02-01T17:00:00,UPI Fraud,3975.64,ACC00497,ACC00405,TXN100011,IMPS,Jaipur,Rajasthan,Open,33,LOW
CMP-1012,2025-04-20T19:00:00,Romance Scam,21857.44,ACC00486,ACC00086,TXN100012,RTGS,Mumbai,Maharashtra,Open,42,MEDIUM
CMP-1013,2025-06-17T15:00:00,Online Shopping Fraud,13259.64,ACC00348,ACC00053,TXN100013,UPI,Patna,Bihar,Open,50,MEDIUM
CMP-1014,2025-05-06T21:00:00,Romance Scam,304.21,ACC00320,ACC00086,TXN100014,Wallet,Jaipur,Rajasthan,Under Investigation,50,MEDIUM
CMP-1015,2025-04-16T13:00:00,Fake Investment App,5960.82,ACC00123,ACC00076,TXN100015,NEFT,Kanpur,Uttar Pradesh,Open,51,MEDIUM
CMP-1016,2025-06-22T17:00:00,Phishing,267.21,ACC00492,ACC00032,TXN100016,UPI,Bengaluru,Karnataka,Open,43,MEDIUM
CMP-1017,2025-08-16T10:00:00,Fake Investment App,6514.45,ACC00482,ACC00016,TXN100017,Wallet,Hyderabad,Telangana,Under Investigation,34,LOW
CMP-1018,2025-01-01T04:00:00,UPI Fraud,9946.68,ACC00136,ACC00094,TXN100018,Card,Jaipur,Rajasthan,Open,32,LOW
CMP-1019,2025-01-19T00:00:00,Job Fraud,4785.26,ACC00260,ACC00073,TXN100019,NEFT,Delhi,Delhi,Under Investigation,28,LOW
CMP-1020,2025-05-31T06:00:00,Credit Card Fraud,2025.08,ACC00307,ACC00041,TXN100020,Card,Delhi,Delhi,Open,32,LOW
CMP-1021,2025-03-29T12:00:00,Credit Card Fraud,634.3,ACC00145,ACC00013,TXN100021,Card,Jaipur,Rajasthan,Open,31,LOW
CMP-1022,2025-08-10T17:00:00,SIM Swap Fraud,853.68,ACC00302,ACC00481,TXN100022,IMPS,Delhi,Delhi,Open,42,MEDIUM
CMP-1023,2025-08-25T01:00:00,SIM Swap Fraud,3753.42,ACC00361,ACC00067,TXN100023,NEFT,Delhi,Delhi,Under Investigation,24,LOW
CMP-1024,2025-02-02T22:00:00,Credit Card Fraud,2408.1,ACC00220,ACC00032,TXN100024,IMPS,Mumbai,Maharashtra,Open,44,MEDIUM
CMP-1025,2025-06-03T23:00:00,Credit Card Fraud,6424.32,ACC00190,ACC00421,TXN100025,Wallet,Delhi,Delhi,Under Investigation,46,MEDIUM
CMP-1026,2025-08-23T23:00:00,Credit Card Fraud,4416.89,ACC00448,ACC00389,TXN100026,NEFT,Hyderabad,Telangana,Under Investigation,35,LOW
CMP-1027,2025-04-15T20:00:00,Loan App Harassment,9700.71,ACC00177,ACC00060,TXN100027,NEFT,Jaipur,Rajasthan,Under Investigation,28,LOW
CMP-1028,2025-02-01T01:00:00,UPI Fraud,3110.52,ACC00280,ACC00039,TXN100028,UPI,Lucknow,Uttar Pradesh,Under Investigation,33,LOW
CMP-1029,2025-09-06T19:00:00,Online Shopping Fraud,8662.86,ACC00246,ACC00011,TXN100029,Card,Jaipur,Rajasthan,Under Investigation,49,MEDIUM
CMP-1030,2025-02-26T12:00:00,Romance Scam,9843.74,ACC00397,ACC00094,TXN100030,Wallet,Hyderabad,Telangana,Closed,64,MEDIUM
CMP-1031,2025-03-09T12:00:00,UPI Fraud,5923.12,ACC00264,ACC00064,TXN100031,Card,Bengaluru,Karnataka,Open,34,LOW
CMP-1032,2025-08-22T11:00:00,OTP Fraud,22384.01,ACC00275,ACC00143,TXN100032,UPI,Delhi,Delhi,Under Investigation,43,MEDIUM
CMP-1033,2025-01-10T21:00:00,Credit Card Fraud,4245.59,ACC00462,ACC00056,TXN100033,IMPS,Bengaluru,Karnataka,Under Investigation,48,MEDIUM
CMP-1034,2025-04-12T06:00:00,SIM Swap Fraud,2527.31,ACC00290,ACC00298,TXN100034,RTGS,Jaipur,Rajasthan,Under Investigation,34,LOW
CMP-1035,2025-08-10T00:00:00,Online Shopping Fraud,8581.88,ACC00423,ACC00008,TXN100035,RTGS,Lucknow,Uttar Pradesh,Open,32,LOW
CMP-1036,2025-07-11T06:00:00,Credit Card Fraud,3793.32,ACC00245,ACC00084,TXN100036,IMPS,Patna,Bihar,Closed,36,LOW
CMP-1037,2025-05-19T23:00:00,Loan App Harassment,5154.36,ACC00141,ACC00018,TXN100037,RTGS,Jaipur,Rajasthan,Closed,47,MEDIUM
CMP-1038,2025-08-24T13:00:00,Job Fraud,8947.54,ACC00166,ACC00010,TXN100038,RTGS,Patna,Bihar,Open,59,MEDIUM
CMP-1039,2025-08-13T17:00:00,Online Shopping Fraud,16511.67,ACC00165,ACC00094,TXN100039,UPI,Jaipur,Rajasthan,Closed,75,HIGH
CMP-1040,2025-03-05T03:00:00,Fake Investment App,2948.47,ACC00360,ACC00046,TXN100040,NEFT,Patna,Bihar,Open,23,LOW
CMP-1041,2025-03-04T22:00:00,Loan App Harassment,6971.5,ACC00198,ACC00017,TXN100041,UPI,Hyderabad,Telangana,Open,27,LOW
CMP-1042,2025-02-19T21:00:00,Credit Card Fraud,4694.83,ACC00438,ACC00098,TXN100042,Card,Lucknow,Uttar Pradesh,Under Investigation,41,MEDIUM
CMP-1043,2025-08-17T00:00:00,OTP Fraud,2707.85,ACC00183,ACC00088,TXN100043,RTGS,Mumbai,Maharashtra,Escalated,42,MEDIUM
CMP-1044,2025-08-25T00:00:00,Romance Scam,27557.74,ACC00122,ACC00086,TXN100044,Wallet,Hyderabad,Telangana,Escalated,79,HIGH
CMP-1045,2025-03-09T04:00:00,Fake Investment App,3740.26,ACC00485,ACC00057,TXN100045,NEFT,Kanpur,Uttar Pradesh,Open,27,LOW
CMP-1046,2025-05-26T02:00:00,Romance Scam,3853.29,ACC00199,ACC00073,TXN100046,NEFT,Hyderabad,Telangana,Closed,37,LOW
CMP-1047,2025-03-15T00:00:00,Credit Card Fraud,18124.61,ACC00357,ACC00020,TXN100047,IMPS,Patna,Bihar,Escalated,72,HIGH
CMP-1048,2025-04-12T04:00:00,Phishing,11469.74,ACC00126,ACC00047,TXN100048,RTGS,Kanpur,Uttar Pradesh,Under Investigation,83,HIGH
CMP-1049,2025-02-15T18:00:00,Online Shopping Fraud,11238.41,ACC00245,ACC00020,TXN100049,IMPS,Delhi,Delhi,Open,86,CRITICAL
CMP-1050,2025-05-04T01:00:00,SIM Swap Fraud,45362.55,ACC00146,ACC00213,TXN100050,UPI,Patna,Bihar,Escalated,26,LOW
CMP-1051,2025-06-04T09:00:00,Phishing,17158.78,ACC00127,ACC00047,TXN100051,NEFT,Patna,Bihar,Open,69,HIGH
CMP-1052,2025-03-07T00:00:00,SIM Swap Fraud,4340.34,ACC00114,ACC00012,TXN100052,IMPS,Bengaluru,Karnataka,Escalated,20,LOW
CMP-1053,2025-09-03T02:00:00,OTP Fraud,5419.98,ACC00119,ACC00060,TXN100053,RTGS,Mumbai,Maharashtra,Under Investigation,48,MEDIUM
CMP-1054,2025-08-03T07:00:00,Fake Investment App,8185.31,ACC00329,ACC00010,TXN100054,IMPS,Hyderabad,Telangana,Open,41,MEDIUM
CMP-1055,2025-03-01T03:00:00,UPI Fraud,644.55,ACC00156,ACC00030,TXN100055,IMPS,Patna,Bihar,Open,28,LOW
CMP-1056,2025-03-25T17:00:00,Romance Scam,2083.22,ACC00427,ACC00058,TXN100056,Wallet,Patna,Bihar,Open,42,MEDIUM
CMP-1057,2025-08-14T17:00:00,Loan App Harassment,1367.11,ACC00423,ACC00030,TXN100057,Card,Lucknow,Uttar Pradesh,Escalated,65,HIGH
CMP-1058,2025-05-22T03:00:00,Phishing,4127.71,ACC00414,ACC00073,TXN100058,Wallet,Lucknow,Uttar Pradesh,Under Investigation,20,LOW
CMP-1059,2025-05-18T00:00:00,Online Shopping Fraud,2404.34,ACC00134,ACC00378,TXN100059,Wallet,Jaipur,Rajasthan,Under Investigation,46,MEDIUM
CMP-1060,2025-08-26T23:00:00,SIM Swap Fraud,4114.25,ACC00299,ACC00122,TXN100060,NEFT,Lucknow,Uttar Pradesh,Under Investigation,18,LOW
CMP-1061,2025-01-01T14:00:00,Phishing,1023.79,ACC00282,ACC00044,TXN100061,Wallet,Lucknow,Uttar Pradesh,Open,42,MEDIUM
CMP-1062,2025-05-26T05:00:00,OTP Fraud,8015.41,ACC00168,ACC00069,TXN100062,RTGS,Jaipur,Rajasthan,Open,23,LOW
CMP-1063,2025-03-26T14:00:00,Phishing,6809.71,ACC00456,ACC00023,TXN100063,RTGS,Hyderabad,Telangana,Escalated,34,LOW
CMP-1064,2025-02-08T11:00:00,UPI Fraud,1753.34,ACC00118,ACC00005,TXN100064,NEFT,Hyderabad,Telangana,Escalated,54,MEDIUM
CMP-1065,2025-09-11T17:00:00,UPI Fraud,18707.33,ACC00363,ACC00069,TXN100065,RTGS,Kanpur,Uttar Pradesh,Under Investigation,83,HIGH
CMP-1066,2025-09-05T21:00:00,SIM Swap Fraud,13819.46,ACC00246,ACC00099,TXN100066,NEFT,Bengaluru,Karnataka,Open,85,CRITICAL
CMP-1067,2025-02-07T02:00:00,Job Fraud,3443.72,ACC00288,ACC00051,TXN100067,NEFT,Delhi,Delhi,Escalated,35,LOW
CMP-1068,2025-05-06T05:00:00,Online Shopping Fraud,18065.43,ACC00354,ACC00047,TXN100068,NEFT,Mumbai,Maharashtra,Closed,67,HIGH
CMP-1069,2025-09-02T01:00:00,OTP Fraud,15145.45,ACC00472,ACC00055,TXN100069,Wallet,Delhi,Delhi,Under Investigation,76,HIGH
CMP-1070,2025-01-22T19:00:00,Loan App Harassment,1070.72,ACC00264,ACC00041,TXN100070,Card,Kanpur,Uttar Pradesh,Under Investigation,21,LOW
CMP-1071,2025-09-12T04:00:00,SIM Swap Fraud,13510.64,ACC00185,ACC00044,TXN100071,Wallet,Patna,Bihar,Under Investigation,81,HIGH
CMP-1072,2025-01-11T16:00:00,Job Fraud,6195.79,ACC00240,ACC00007,TXN100072,NEFT,Patna,Bihar,Open,45,MEDIUM
CMP-1073,2025-06-10T14:00:00,Romance Scam,7399.41,ACC00115,ACC00077,TXN100073,UPI,Mumbai,Maharashtra,Under Investigation,32,LOW
CMP-1074,2025-09-04T15:00:00,Job Fraud,8689.53,ACC00134,ACC00082,TXN100074,Wallet,Mumbai,Maharashtra,Under Investigation,50,MEDIUM
CMP-1075,2025-05-06T15:00:00,SIM Swap Fraud,52652.73,ACC00409,ACC00057,TXN100075,Card,Lucknow,Uttar Pradesh,Closed,89,CRITICAL
CMP-1076,2025-07-23T11:00:00,Loan App Harassment,31389.01,ACC00393,ACC00046,TXN100076,IMPS,Delhi,Delhi,Under Investigation,69,HIGH
CMP-1077,2025-06-04T15:00:00,Online Shopping Fraud,66530.45,ACC00113,ACC00063,TXN100077,UPI,Delhi,Delhi,Under Investigation,69,HIGH
CMP-1078,2025-03-27T11:00:00,Credit Card Fraud,9212.47,ACC00496,ACC00057,TXN100078,NEFT,Kanpur,Uttar Pradesh,Open,39,LOW
CMP-1079,2025-04-23T01:00:00,Romance Scam,1161.72,ACC00202,ACC00009,TXN100079,UPI,Hyderabad,Telangana,Under Investigation,49,MEDIUM
CMP-1080,2025-05-22T11:00:00,Loan App Harassment,4051.48,ACC00441,ACC00008,TXN100080,NEFT,Jaipur,Rajasthan,Under Investigation,25,LOW
CMP-1081,2025-02-27T10:00:00,SIM Swap Fraud,8354.03,ACC00464,ACC00089,TXN100081,Wallet,Mumbai,Maharashtra,Under Investigation,29,LOW
CMP-1082,2025-02-15T23:00:00,Romance Scam,17058.06,ACC00162,ACC00171,TXN100082,UPI,Bengaluru,Karnataka,Open,31,LOW
CMP-1083,2025-06-13T17:00:00,Online Shopping Fraud,5071.83,ACC00383,ACC00059,TXN100083,IMPS,Jaipur,Rajasthan,Escalated,53,MEDIUM
CMP-1084,2025-05-22T12:00:00,Online Shopping Fraud,3132.54,ACC00133,ACC00091,TXN100084,Card,Delhi,Delhi,Escalated,35,LOW
CMP-1085,2025-04-13T14:00:00,Romance Scam,20923.7,ACC00394,ACC00040,TXN100085,Card,Patna,Bihar,Under Investigation,80,HIGH
CMP-1086,2025-06-20T23:00:00,Credit Card Fraud,1850.05,ACC00165,ACC00499,TXN100086,IMPS,Jaipur,Rajasthan,Under Investigation,18,LOW
CMP-1087,2025-04-10T11:00:00,Online Shopping Fraud,2868.39,ACC00321,ACC00007,TXN100087,IMPS,Mumbai,Maharashtra,Escalated,42,MEDIUM
CMP-1088,2025-07-21T09:00:00,Online Shopping Fraud,30514.05,ACC00184,ACC00090,TXN100088,NEFT,Kanpur,Uttar Pradesh,Open,90,CRITICAL
CMP-1089,2025-04-07T12:00:00,Loan App Harassment,2266.37,ACC00228,ACC00070,TXN100089,Wallet,Delhi,Delhi,Open,33,LOW
CMP-1090,2025-04-24T02:00:00,OTP Fraud,28884.9,ACC00357,ACC00075,TXN100090,IMPS,Delhi,Delhi,Closed,55,MEDIUM
CMP-1091,2025-05-31T15:00:00,Credit Card Fraud,6601.41,ACC00388,ACC00003,TXN100091,NEFT,Jaipur,Rajasthan,Open,26,LOW
