transaction_id,complaint_id,account_id,amount,timestamp,hour,day_of_week,transaction_type,sender_account,receiver_account,previous_withdrawal_location,distance_from_previous_location,withdrawal_frequency,average_withdrawal_amount,account_age_days,transaction_velocity,linked_accounts,device_count,location_id,latitude,longitude,historical_location_frequency,time_since_last_withdrawal,is_hotspot_location,risk_label
TXN100001,CMP-1001,ACC00095,6819.46,2025-02-05T11:00:00,11,2,Wallet,ACC00147,ACC00095,ATM-MUM-060,1092.56,3,7494.26,38,5.39,61,6,ATM-KAN-014,26.483169,80.168622,22,5.55,True,LOW
TXN100004,CMP-1004,ACC00064,2045.41,2025-07-03T14:00:00,14,3,Wallet,ACC00280,ACC00064,ATM-MUM-032,18.74,4,3095.87,48,6.16,55,7,ATM-MUM-034,18.922838,73.052979,2,11.72,False,LOW
TXN100005,CMP-1005,ACC00047,3503.21,2025-01-21T00:00:00,0,1,IMPS,ACC00279,ACC00047,ATM-DEL-002,26.35,2,6314.57,64,4.98,65,9,ATM-DEL-004,28.650301,77.283906,12,22.94,True,LOW
TXN100006,CMP-1006,ACC00098,10199.67,2025-07-29T23:00:00,23,1,RTGS,ACC00319,ACC00098,ATM-KAN-097,16.32,2,1195.26,66,2.49,56,3,ATM-KAN-012,26.434085,80.434563,17,66.07,True,CRITICAL
TXN100008,CMP-1008,ACC00023,21814.49,2025-07-08T15:00:00,15,1,NEFT,ACC00273,ACC00023,ATM-BEN-079,1575.5,3,5153.45,14,5.95,57,2,ATM-LUC-005,26.67411,81.115368,15,19.29,True,CRITICAL
TXN100009,CMP-1009,ACC00081,5507.28,2025-01-14T16:00:00,16,1,Wallet,ACC00135,ACC00081,ATM-DEL-054,15.49,5,3746.68,18,6.72,72,8,ATM-DEL-010,28.654167,77.079218,18,41.72,True,LOW
TXN100010,CMP-1010,ACC00043,573.79,2025-09-17T13:00:00,13,2,UPI,ACC00292,ACC00043,ATM-DEL-053,828.69,2,9251.68,106,3.42,66,2,ATM-PAT-006,25.713779,85.034042,18,54.07,True,LOW
TXN100012,CMP-1012,ACC00086,21857.44,2025-04-20T19:00:00,19,6,NEFT,ACC00486,ACC00086,ATM-JAI-038,217.89,7,2776.05,66,4.0,58,3,ATM-DEL-002,28.490067,77.085158,8,52.44,True,MEDIUM
TXN100013,CMP-1013,ACC00053,13259.64,2025-06-17T15:00:00,15,1,Wallet,ACC00348,ACC00053,ATM-LUC-071,30.59,1,1126.55,125,5.24,81,3,ATM-LUC-005,26.67411,81.115368,14,10.81,True,MEDIUM
TXN100014,CMP-1014,ACC00086,304.21,2025-05-06T21:00:00,21,1,IMPS,ACC00320,ACC00086,ATM-MUM-083,1141.7,7,2627.42,56,4.55,58,4,ATM-DEL-002,28.490067,77.085158,8,49.79,True,MEDIUM
