transaction_id,complaint_id,timestamp,sender_account,receiver_account,amount,channel,city,state,is_suspicious,risk_score,transaction_velocity
TXN200001,CMP-1001,2025-02-05T12:18:00,ACC00147,ACC00095,5151.86,NEFT,Patna,Bihar,True,82,4.23
TXN200002,CMP-1001,2025-02-05T13:46:00,ACC00095,ACC00084,6026.49,Card,Jaipur,Rajasthan,True,82,10.67
TXN200003,CMP-1001,2025-02-05T13:55:00,ACC00084,ACC00059,3985.12,Card,Mumbai,Maharashtra,True,55,8.12
TXN200004,CMP-1001,2025-02-05T14:33:00,ACC00059,ACC00016,4551.56,Wallet,Bengaluru,Karnataka,True,97,8.12
TXN200005,CMP-1004,2025-07-03T14:05:00,ACC00280,ACC00064,1413.89,UPI,Hyderabad,Telangana,True,71,7.66
TXN200006,CMP-1004,2025-07-03T14:56:00,ACC00064,ACC00089,1678.63,IMPS,Mumbai,Maharashtra,True,85,7.0
TXN200007,CMP-1004,2025-07-03T15:03:00,ACC00089,ACC00096,1431.78,IMPS,Mumbai,Maharashtra,True,75,5.67
TXN200008,CMP-1005,2025-01-21T00:42:00,ACC00279,ACC00047,2781.17,Card,Kanpur,Uttar Pradesh,True,81,5.68
TXN200009,CMP-1005,2025-01-21T01:25:00,ACC00047,ACC00063,2211.07,IMPS,Bengaluru,Karnataka,True,65,5.74
TXN200010,CMP-1005,2025-01-21T02:46:00,ACC00063,ACC00012,2667.76,Wallet,Lucknow,Uttar Pradesh,True,89,6.95
TXN200011,CMP-1005,2025-01-21T02:54:00,ACC00012,ACC00054,2417.67,UPI,Jaipur,Rajasthan,True,88,9.88
TXN200012,CMP-1006,2025-07-29T23:26:00,ACC00319,ACC00098,9060.48,IMPS,Mumbai,Maharashtra,True,73,3.77
TXN200013,CMP-1006,2025-07-30T00:44:00,ACC00098,ACC00045,7550.88,Wallet,Lucknow,Uttar Pradesh,True,75,5.67
TXN200014,CMP-1006,2025-07-30T02:13:00,ACC00045,ACC00086,6343.96,UPI,Jaipur,Rajasthan,True,63,3.93
TXN200015,CMP-1008,2025-07-08T15:54:00,ACC00273,ACC00023,16818.75,IMPS,Delhi,Delhi,True,67,7.72
TXN200016,CMP-1008,2025-07-08T17:16:00,ACC00023,ACC00014,15782.29,Wallet,Bengaluru,Karnataka,True,88,4.16
TXN200017,CMP-1008,2025-07-08T18:24:00,ACC00014,ACC00080,16653.91,Card,Kanpur,Uttar Pradesh,True,67,5.84
TXN200018,CMP-1009,2025-01-14T16:42:00,ACC00135,ACC00081,5038.03,UPI,Kanpur,Uttar Pradesh,True,85,4.2
TXN200019,CMP-1009,2025-01-14T17:19:00,ACC00081,ACC00045,4663.62,IMPS,Delhi,Delhi,True,84,11.73
TXN200020,CMP-1009,2025-01-14T18:12:00,ACC00045,ACC00099,4652.17,RTGS,Lucknow,Uttar Pradesh,True,49,10.72
TXN200021,CMP-1010,2025-09-17T13:19:00,ACC00292,ACC00043,431.99,UPI,Delhi,Delhi,True,84,7.18
TXN200022,CMP-1010,2025-09-17T14:19:00,ACC00043,ACC00059,524.23,Wallet,Delhi,Delhi,True,93,3.67
TXN200023,CMP-1010,2025-09-17T14:42:00,ACC00059,ACC00097,390.68,Wallet,Lucknow,Uttar Pradesh,True,87,6.13
TXN200024,CMP-1012,2025-04-20T19:48:00,ACC00486,ACC00086,17239.33,UPI,Bengaluru,Karnataka,True,83,5.3
TXN200025,CMP-1012,2025-04-20T20:58:00,ACC00086,ACC00013,18121.78,NEFT,Mumbai,Maharashtra,True,78,8.3
TXN200026,CMP-1012,2025-04-20T21:08:00,ACC00013,ACC00021,16221.05,RTGS,Kanpur,Uttar Pradesh,True,78,10.43
TXN200027,CMP-1012,2025-04-20T22:25:00,ACC00021,ACC00080,14695.25,RTGS,Hyderabad,Telangana,True,86,10.06
TXN200028,CMP-1013,2025-06-17T15:33:00,ACC00348,ACC00053,12196.97,IMPS,Jaipur,Rajasthan,True,78,11.83
TXN200029,CMP-1013,2025-06-17T16:34:00,ACC00053,ACC00064,11206.6,NEFT,Mumbai,Maharashtra,True,69,9.75
TXN200030,CMP-1013,2025-06-17T16:43:00,ACC00064,ACC00094,8705.24,UPI,Bengaluru,Karnataka,True,91,9.0
TXN200031,CMP-1013,2025-06-17T16:56:00,ACC00094,ACC00012,7041.13,Card,Patna,Bihar,True,79,4.26
TXN200032,CMP-1014,2025-05-06T22:18:00,ACC00320,ACC00086,260.98,Card,Jaipur,Rajasthan,True,83,7.51
TXN200033,CMP-1014,2025-05-06T23:11:00,ACC00086,ACC00031,188.68,NEFT,Mumbai,Maharashtra,True,72,11.44
TXN200034,CMP-1015,2025-04-16T14:02:00,ACC00123,ACC00076,4273.11,NEFT,Patna,Bihar,True,59,5.29
TXN200035,CMP-1015,2025-04-16T15:00:00,ACC00076,ACC00034,3498.55,NEFT,Bengaluru,Karnataka,True,99,9.49
TXN200036,CMP-1016,2025-06-22T17:58:00,ACC00492,ACC00032,209.62,Wallet,Patna,Bihar,True,83,8.24
TXN200037,CMP-1016,2025-06-22T19:01:00,ACC00032,ACC00097,221.71,IMPS,Mumbai,Maharashtra,True,77,9.55
TXN200038,CMP-1017,2025-08-16T10:39:00,ACC00482,ACC00016,6069.7,Wallet,Jaipur,Rajasthan,True,82,6.57
TXN200039,CMP-1017,2025-08-16T10:54:00,ACC00016,ACC00053,4868.81,UPI,Hyderabad,Telangana,True,62,3.99
TXN200040,CMP-1017,2025-08-16T12:23:00,ACC00053,ACC00059,5599.3,IMPS,Lucknow,Uttar Pradesh,True,83,6.97
TXN200041,CMP-1018,2025-01-01T04:27:00,ACC00136,ACC00094,8886.76,NEFT,Jaipur,Rajasthan,True,86,9.44
TXN200042,CMP-1018,2025-01-01T05:30:00,ACC00094,ACC00066,6645.27,Card,Mumbai,Maharashtra,True,83,9.24
TXN200043,CMP-1018,2025-01-01T06:00:00,ACC00066,ACC00008,7938.85,Card,Lucknow,Uttar Pradesh,True,80,8.58
TXN200044,CMP-1018,2025-01-01T06:34:00,ACC00008,ACC00010,6272.79,Card,Lucknow,Uttar Pradesh,True,71,8.42
TXN200045,CMP-1019,2025-01-19T00:32:00,ACC00260,ACC00073,4172.33,UPI,Kanpur,Uttar Pradesh,True,90,3.64
TXN200046,CMP-1019,2025-01-19T01:34:00,ACC00073,ACC00083,3542.46,Card,Patna,Bihar,True,85,11.55
TXN200047,CMP-1019,2025-01-19T02:04:00,ACC00083,ACC00019,2669.23,RTGS,Kanpur,Uttar Pradesh,True,86,6.89
TXN200048,CMP-1019,2025-01-19T03:14:00,ACC00019,ACC00074,2884.73,RTGS,Jaipur,Rajasthan,True,73,8.59
TXN200049,CMP-1020,2025-05-31T06:09:00,ACC00307,ACC00041,1557.8,Wallet,Mumbai,Maharashtra,True,73,3.13
TXN200050,CMP-1020,2025-05-31T07:18:00,ACC00041,ACC00001,1341.0,RTGS,Patna,Bihar,True,73,11.06
TXN200051,CMP-1020,2025-05-31T08:11:00,ACC00001,ACC00035,1358.91,Card,Bengaluru,Karnataka,True,88,10.49
TXN200052,CMP-1021,2025-03-29T13:23:00,ACC00145,ACC00013,417.3,RTGS,Jaipur,Rajasthan,True,79,3.02
TXN200053,CMP-1021,2025-03-29T14:51:00,ACC00013,ACC00080,562.61,RTGS,Patna,Bihar,True,78,3.5
