withdrawal_id,account_id,location_id,timestamp,amount
WD00000,ACC00052,ATM-MUM-009,2025-01-01T05:14:00,2525.64
WD00001,ACC00077,ATM-KAN-007,2025-04-17T05:18:00,1252.94
WD00002,ACC00003,ATM-DEL-004,2025-08-29T09:52:00,2066.99
WD00003,ACC00010,ATM-PAT-008,2025-03-10T05:54:00,3914.53
WD00004,ACC00162,ATM-KAN-096,2025-09-11T23:33:00,3130.15
WD00005,ACC00277,ATM-PAT-076,2025-04-11T21:56:00,4632.54
WD00006,ACC00458,ATM-HYD-052,2025-05-16T01:31:00,292.93
WD00007,ACC00167,ATM-MUM-009,2025-02-16T21:15:00,2731.59
WD00008,ACC00417,ATM-BEN-079,2025-03-20T19:54:00,3348.25
WD00009,ACC00059,ATM-LUC-005,2025-02-23T21:08:00,4325.89
WD00010,ACC00046,ATM-LUC-005,2025-08-20T21:17:00,4408.59
WD00011,ACC00025,ATM-KAN-014,2025-08-27T21:06:00,1235.77
WD00012,ACC00070,ATM-DEL-010,2025-06-08T22:36:00,3924.81
WD00013,ACC00055,ATM-PAT-006,2025-09-09T17:28:00,4025.36
WD00014,ACC00244,ATM-KAN-059,2025-03-17T03:37:00,3404.3
WD00015,ACC00021,ATM-PAT-003,2025-03-17T22:46:00,1758.36
WD00016,ACC00162,ATM-PAT-003,2025-02-20T11:38:00,1716.94
WD00017,ACC00065,ATM-DEL-010,2025-07-27T09:09:00,3703.54
WD00018,ACC00083,ATM-BEN-001,2025-06-08T11:29:00,2076.99
WD00019,ACC00348,ATM-KAN-087,2025-09-08T11:17:00,1672.9
WD00020,ACC00000,ATM-DEL-011,2025-04-19T05:05:00,4417.6
WD00021,ACC00012,ATM-BEN-001,2025-04-01T11:30:00,4329.17
WD00022,ACC00079,ATM-PAT-008,2025-04-08T21:31:00,1996.63
WD00023,ACC00031,ATM-KAN-012,2025-06-25T04:14:00,2670.93
WD00024,ACC00086,ATM-DEL-002,2025-07-29T23:22:00,3080.06
WD00025,ACC00064,ATM-PAT-008,2025-06-26T22:14:00,1794.8
WD00026,ACC00069,ATM-HYD-036,2025-04-21T02:41:00,763.2
WD00027,ACC00168,ATM-PAT-028,2025-07-27T11:52:00,15754.56
WD00028,ACC00034,ATM-KAN-012,2025-02-14T19:26:00,2711.9
WD00029,ACC00005,ATM-DEL-013,2025-04-06T01:54:00,1841.95
WD00030,ACC00051,ATM-DEL-000,2025-02-16T05:48:00,1630.73
WD00031,ACC00049,ATM-KAN-014,2025-09-16T12:54:00,1193.81
WD00032,ACC00037,ATM-PAT-003,2025-01-12T07:26:00,3952.18
WD00033,ACC00073,ATM-PAT-006,2025-07-20T13:24:00,2664.5
WD00034,ACC00091,ATM-DEL-011,2025-09-17T02:54:00,1414.53
WD00035,ACC00032,ATM-LUC-056,2025-07-31T19:10:00,3677.75
WD00036,ACC00086,ATM-DEL-002,2025-03-22T07:34:00,2911.3
WD00037,ACC00314,ATM-DEL-094,2025-02-09T08:52:00,5686.77
WD00038,ACC00456,ATM-LUC-046,2025-01-11T07:26:00,846.86
WD00039,ACC00057,ATM-DEL-011,2025-01-02T00:09:00,4668.14
WD00040,ACC00096,ATM-KAN-012,2025-07-13T08:29:00,5297.87
WD00041,ACC00055,ATM-PAT-006,2025-07-01T06:09:00,4799.94
WD00042,ACC00054,ATM-PAT-006,2025-07-01T06:22:00,697.11
WD00043,ACC00057,ATM-DEL-011,2025-06-26T23:05:00,376.2
WD00044,ACC00057,ATM-DEL-011,2025-03-02T08:32:00,2598.41
WD00045,ACC00210,ATM-PAT-006,2025-05-18T22:39:00,1501.6
WD00046,ACC00020,ATM-KAN-014,2025-09-07T14:32:00,1618.21
WD00047,ACC00014,ATM-PAT-008,2025-07-11T19:54:00,2908.83
WD00048,ACC00086,ATM-DEL-002,2025-02-06T14:59:00,1518.48
WD00049,ACC00018,ATM-DEL-000,2025-09-05T01:21:00,3233.85
WD00050,ACC00031,ATM-KAN-012,2025-07-15T18:39:00,2619.46
WD00051,ACC00001,ATM-PAT-003,2025-07-21T20:02:00,2766.04
WD00052,ACC00005,ATM-DEL-013,2025-07-13T14:20:00,10311.17
WD00053,ACC00049,ATM-KAN-014,2025-04-06T20:04:00,1907.85
WD00054,ACC00328,ATM-BEN-074,2025-01-07T07:35:00,4419.09
WD00055,ACC00055,ATM-PAT-006,2025-04-15T04:11:00,1725.47
WD00056,ACC00171,ATM-MUM-099,2025-05-20T11:07:00,2921.5
WD00057,ACC00212,ATM-DEL-092,2025-07-22T16:33:00,3373.65
